Ticker,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,Business_description,Greeness
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1976-08-09,66740,1902,">Item 1. Business.​3M Company was incorporated in 1929 under the laws of the State of Delaware to continue operations begun in 1902. The Company’s ticker symbol is MMM. As used herein, the term “3M” or “Company” includes 3M Company and its subsidiaries unless the context indicates otherwise. In this document, for any references to Note 1 through Note 20, refer to the Notes to Consolidated Financial Statements in Item 8.​Available Information​The SEC maintains a website that contains reports, proxy and information statements, and other information regarding issuers, including the Company, that file electronically with the SEC. The public can obtain any documents that the Compan",0.0
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,91142,1916,">ITEM 1  - BUSINESS  Our company is comprised of two reporting segments: North America and Rest of World. Our Rest of World segment is primarily comprised of China, Europe and India. Both segments manufacture and market comprehensive lines of residential and commercial gas and electric water heaters, boilers, tanks and water treatment products. Both segments primarily manufacture and market in their respective regions of the world. Our Rest of World segment also manufactures and markets in-home air purification products in China. NORTH AME",0.0
ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800,1888,">ITEM 1. BUSINESSGENERAL DEVELOPMENT OF BUSINESSAbbott Laboratories is an Illinois corporation, incorporated in 1900. Abbott’s* principal business is the discovery, development, manufacture, and sale of a broad and diversified line of health care products.NARRATIVE DESCRIPTION OF BUSINESSAbbott has four reportable segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices.On October 3, 2017, Abbott completed the acquisition of Alere Inc., a diagnostic device and service provider, for an aggregate consideration of approximately $4.5 billion in cash.On February 27, 2017, Abbott completed the sale of Abbott Medical Optics, its vision care business, to Johnson & Johnson for $4.325 bill",0.0
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888),">ITEM 1. BUSINESS OverviewAbbVie(1) is a global, research-based biopharmaceutical company. AbbVie develops and markets advanced therapies that address some of the world's most complex and serious diseases. AbbVie's products are focused on treating conditions such as chronic autoimmune diseases in rhe",0.0
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31,718877,2008,">Item 1.    BUSINESSOverviewActivision Blizzard, Inc. is a leading global developer and publisher of interactive entertainment content and services. We develop and distribute content and services on video game consoles, personal computers (“PC”s), and mobile devices. We also operate esports leagues and offer digital advertising within our content. The terms “Activision Blizzard,” the “Company,” “we,” “us,” and “our” are used to refer collectively to Activision Blizzard, Inc. and its subsidiaries.The Company was originally incorporated in California in 1979 and was reincorporated in Delaware in December 1992. In connection with the 2008 bu",0.0
ADM,ADM,Consumer Staples,Agricultural Products,"Chicago, Illinois",1981-07-29,7084,1902,">Item 1.BUSINESS (Continued)Environmental ComplianceDuring the year ended December 31, 2019, the Company spent $48 million specifically to improve equipment, facilities, and programs for pollution control and compliance with the requirements of various environmental agencies.There have been no material effects upon the earnings and",0.0
ADP,ADP,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",1981-03-31,8670,1949,">Item 1. BusinessCORPORATE BACKGROUNDGeneralWe were founded in 1949 on an innovative idea: to help business owners focus on core business activities by freeing them up from certain non-core tasks such as payroll. Today, we are one of the world’s leading providers of cloud-based human capital management (HCM) solutions to employers, offering solutions to businesses of all sizes, whether they have simple or complex needs. We serve over 860,000 clients in 140 countries and territories. Our common stock is listed on the NASDAQ Global Select Market® under the symbol “ADP.”spa",0.0
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,1158449,1932,">Item 1.    Business.Unless the context otherwise requires, “Advance,” “we,” “us,” “our,” and similar terms refer to Advance Auto Parts, Inc., its subsidiaries and their respective operations on a consolidated basis. Our fiscal year consists of 52 or 53 weeks ending on the Saturday closest to December 31st of each year. Our fiscal year ended December 28, 2019 (“2019”), fiscal year ended December 29, 2018 (“201",0.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761,1981,">Item 1.—Business—South America SBU—Argentina—Regulatory Framework and Market Structure, and Item 7.—Management's Discussion and Analysis of Financial Condition and Results of Operation—Key Trends and Uncertainties—Macroeconomic and Political—Chile of this Form 10-K for further information.As of December 31, 2019, the Company had approximately $1.4 billion of loans receivable primarily related to a facility constructed under a BOT contract in Vietnam. This loan receivable represents contract consideration related to the construction of the facility, which was substantially completed in 2015, and will be collected over the 25-year term of the plant's PPA. See Note 20—",0.0
A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872,1999,">Item 1.    Business OverviewAgilent Technologies Inc. (""we"", ""Agilent"" or the ""company""), incorporated in Delaware in May 1999, is a global leader in life sciences, diagnostics and applied chemical markets, providing application focused solutions that include instruments, software, services and consumables for the entire laboratory workflow.For fiscal year ended October 31, 2020, we have three business segments comprised of the life sciences and applied markets business, the diagnostics and genomics business and the Agilent CrossLab business. ",0.0
APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,2969,1940,">Item 1. Business.Air Products and Chemicals, Inc., a Delaware corporation originally founded in 1940, serves customers globally with a unique portfolio of products, services, and solutions that include atmospheric gases, process and specialty gases, equipment, and services. We are the world’s largest supplier of hydrogen and have built leading positions in growth markets such as helium and liquefied natural gas (""LNG"") process technology and equipment. We also develop, engineer, build, own and operate some of the world’s largest industrial gas projects, including gasification projects that sustainably convert abundant natural resources into syngas for the production of high-value power, fuels and chemicals, carbon capture projects, and world-scale carbon-free hydrogen projects supporting global transportation and the energy transition. As used in this report, unless the context indicates otherwise, the terms “we,” “our,” “us,” the “Company,” ""Air Products,"" or “registrant” include controlled subsidiaries, affiliates, and predecessors of Air Products and our controlled subsidiaries and affiliates.",0.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1086222,1998,">Item 1. BusinessOverviewAkamai provides solutions for securing, delivering and optimizing content and business applications over the Internet. At the core of our solutions is our globally-distributed Akamai Intelligent Edge Platform, which is designed to help our customers leverage the power and reach of the Internet while protecting them from malicious threats to their business. We deploy servers and technology at the “edge” of the Internet – establishing touch points on its perimeter in more than 130 countries and nearly 1,500 networks around the world. This approach affords us unique insight and visibility into traffic volumes, attack patterns, vulnerabilities and other activities across this com",0.0
ALK,Alaska Air Group,Industrials,Airlines,"SeaTac, Washington",2016-05-13,766421,1985,">ITEM 1. OUR BUSINESSAlaska Air Group is a Delaware corporation incorporated in 1985 that operates two airlines, Alaska and Horizon. Alaska was organized in 1932 and incorporated in 1937 in the state of Alaska. Horizon is a Washington corporation that was incorporated and began service in 1981, and was acquired by Air Group in 1986. Virgin America was a member of Air Group since it was acquired in 2016 until 2018, when Alaska and Virgin America combined operating certificates to become a single airline, and legally merged into a single entity. The Company also includes McGee Air Services, an aviation services provider that was established as a wholly-owned subsidiary of Alaska in 2016.  Alaska and Horizon operate as separate airlines, with individual business plans, competitive factors and economic risks. Together with our regional airline partners, we fly to 115 destinations with over 1,300 daily departures t",0.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913,1994,">Item 1.Business.Albemarle Corporation was incorporated in Virginia in 1993. Our principal executive offices are located at 4250 Congress Street, Suite 900, Charlotte, North Carolina 28209. Unless the context otherwise indicates, the terms “Albemarle,” “we,” “us,” “our” or “the Company” mean Albemarle Corporation and its consolidated subsidiaries.We are a leading global developer, manufacturer and marketer of highly-engineered specialty chemicals that are designed to meet our customers’ needs across a diverse range of end markets. We believe our purpose is making the world safe and sustainable by powering the potential of people. The end markets we serve include energy storage, petroleum refining, consumer electronics, construction, automotive, lubricants, pharmaceuticals, crop protection and custom chemistry services. We believe that our commercial a",0.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1035443,1994,">ITEM 1. BUSINESSOverviewWe are a Maryland corporation, formed in October 1994, that has elected to be taxed as a REIT for federal income tax purposes. We are an S&P 500® urban office REIT and the first and longest-tenured owner, operator, and developer uniquely focused on collaborative life science, technology, and agtech campuses in AAA innovation cluster locations. We consider AAA locations to be highly desirable for tenancy by life science, technology, and agtech entities because of their close proximity to concentrations ",0.0
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,1097149,1997,">ITEM 1.BUSINESS Our CompanyAlign Technology, Inc. (“We”, “Our”, “Align”) is a global medical device company engaged in the design, manufacture and marketing of Invisalign® clear aligners and iTero® intraoral scanners and services for orthodontics, and restorative and aesthetic dentistry. Align’s products are intended primarily for the treatment of malocclusion or the misalignment of teeth and are designed to help dental professionals achieve the clinical outcomes that they expect. Align Technology was founded in March 1997 and incorporated in Delaware in April 1997. Our corporate headquarters is located at 2820 Orchard Parkway, San Jose, California, U.S.A., 95134, and our telephone number is 408-470-1000. Our internet address is www.aligntech.com. Our Americas ",0.0
